i,lat,long
36,28.67328089981089,-81.49002209468128
36,41.88314978859853,-87.72502580120636
38,41.89110065097819,-87.6140032617778
40,41.75601372270901,-87.59459164268549
40,41.724156962353966,-87.54748322901592
40,41.710661786730654,-87.5848933890125
43,41.89229151450878,-87.60530413228989
43,41.89229151450878,-87.60530413228989
43,41.90256792621825,-87.71693495233168
44,41.724156962353966,-87.54748322901592
44,41.710661786730654,-87.5848933890125
44,41.48086929321289,-87.6378173828125
45,41.88689242594513,-87.63542262420832
45,41.89110065097819,-87.6140032617778
45,41.89110065097819,-87.6140032617778
45,41.716552898268446,-87.6085049045434
47,41.870539750000006,-87.62809320000001
47,41.99332425,-87.76721040000001
49,41.89110065097819,-87.6140032617778
50,41.890812800000006,-87.63132305
50,41.8946172836022,-87.75151857417222
50,41.87780337461316,-87.7734807172891
50,41.741846050655894,-87.71435052368712
50,41.890812800000006,-87.63132305
50,41.845053566015785,-87.73269034195599
50,42.02742828895725,-88.15216431802625
50,41.89229151450878,-87.60530413228989
50,41.74629211425781,-87.68553161621094
51,41.480812072753906,-87.64838409423828
51,42.008033752441406,-87.67056274414062
51,42.033993951850334,-87.8752570752445
52,41.89110065097819,-87.6140032617778
52,41.89229151450878,-87.60530413228989
52,41.72581100463867,-87.61146545410156
52,41.69609003087917,-87.63466942091732
53,41.89229151450878,-87.60530413228989
53,41.75263977050781,-87.70996856689453
54,41.75196119001311,-87.57064992465841
55,40.867431640625,-85.5983657836914
55,41.75263977050781,-87.70996856689453
59,41.75196119001311,-87.57064992465841
59,41.749354429026425,-87.5738436676802
59,41.80519895302031,-87.58578939349289
60,41.86023292542586,-87.70700912475604
62,41.89110065097819,-87.6140032617778
62,41.89110065097819,-87.6140032617778
62,41.89110065097819,-87.6140032617778
62,41.989356994628906,-87.82140350341797
62,41.89110065097819,-87.6140032617778
64,41.845053566015785,-87.73269034195599
65,41.568393740398704,-89.17857576351004
67,44.265242871557874,-121.19781360629116
67,41.89110065097819,-87.6140032617778
67,41.8723418,-87.6764543
68,41.88908199886799,-87.71856147334627
68,41.754395099999996,-87.70044265
68,41.728623723012106,-87.65491285038395
70,41.79387414085752,-87.68387359325466
70,41.847168800000006,-87.73437570000002
70,41.87836456298828,-87.6451416015625
70,41.75874051738807,-87.61009608904571
70,41.88314978859853,-87.72502580120636
70,45.44636397816258,-122.58595467233243
70,41.830543518066406,-87.67788696289062
71,41.88003158569336,-87.73565673828125
72,41.48086929321289,-87.6378173828125
72,41.508932054852266,-87.6514880378895
72,41.92723083496094,-88.14834594726562
72,41.55345916748047,-87.8127212524414
72,41.55250930786133,-87.69830322265625
72,41.85002899169922,-87.6500473022461
73,41.772647857666016,-87.61443328857422
73,41.833108694789644,-87.61283274361762
73,41.85002899169922,-87.6500473022461
73,41.72917175292969,-87.6263656616211
75,41.77256790473075,-87.6515379925113
75,41.75148575,-87.5862343
77,41.48086929321289,-87.6378173828125
77,41.79387414085752,-87.68387359325466
77,41.88003158569336,-87.73565673828125
77,41.87836456298828,-87.6451416015625
77,41.89110065097819,-87.6140032617778
77,38.64239120065636,-88.92766506237254
77,41.724156962353966,-87.54748322901592
77,41.87571596574444,-87.66912269404357
77,-37.7339559,144.73610585
77,41.75874051738807,-87.61009608904571
77,41.88314978859853,-87.72502580120636
77,45.44636397816258,-122.58595467233243
77,41.830543518066406,-87.67788696289062
78,41.89110065097819,-87.6140032617778
79,41.85002899169922,-87.6500473022461
80,41.94120879107546,-87.72628524319208
82,41.89095725,-87.62413875000001
83,30.232097625732422,-90.86115264892578
83,41.51436996459961,-88.08246612548828
84,41.512489318847656,-88.08780670166016
84,42.00437545776367,-87.81744384765625
86,41.875702950000004,-87.6290291
88,42.196081756873006,-87.80717041987903
88,41.869176800000005,-87.6718267
89,41.89229151450878,-87.60530413228989
89,41.89110065097819,-87.6140032617778
89,41.681532829317064,-88.08590297127385
90,45.44636397816258,-122.58595467233243
90,34.22009601143419,-118.84691571541194
90,41.772647857666016,-87.61443328857422
90,41.05514144897461,-87.7764663696289
91,41.724156962353966,-87.54748322901592
91,41.82395909727098,-87.61893247358562
91,41.724156962353966,-87.54748322901592
92,41.73815330090692,-87.71424072195852
92,41.693731942129276,-87.70705342842143
92,41.898448778235434,-87.74892243095292
93,41.89110065097819,-87.6140032617778
93,41.55584876232634,-87.27655746580925
96,41.890812800000006,-87.63132305
101,41.815935918886915,-87.6187045754803
101,41.89110065097819,-87.6140032617778
101,41.81643390000001,-87.6303126
101,41.773456681771385,-87.5757966502251
105,41.89110065097819,-87.6140032617778
105,42.29473691915772,-87.86419413685688
105,42.29815426504011,-87.8502197556453
106,41.8824953,-87.6446183
106,41.93595156605303,-87.71460667924039
